244507.100,6010892.604,19.256
244507.097,6010892.547,19.244
244507.080,6010892.541,19.242
244507.124,6010892.599,19.253
244507.120,6010892.553,19.240
244507.125,6010892.565,19.241
244507.090,6010892.570,19.249
244507.072,6010892.575,19.253
244507.119,6010892.576,19.246
244507.079,6010892.575,19.248
244507.096,6010892.581,19.250
244507.089,6010892.604,19.255
244507.066,6010892.598,19.253
244507.112,6010892.599,19.252
244507.089,6010892.598,19.255
244507.067,6010892.569,19.247
244507.103,6010892.524,19.238
244507.057,6010892.512,19.240
244507.127,6010892.525,19.235
244507.074,6010892.524,19.241
